ababa	a<r>bab<vr>a<va>
ungishisa	u<i1>ngi<o1s>sh<vr>is<xc>a<va>
ungithanda	u<i1>ngi<o1s>thand<vr>a<va>, u<i2s>ngi<o1s>thand<vr>a<va>, u<i3>ngi<o1s>thand<vr>a<va>, u<p2s>ngi<o1s>thand<vr>a<va>
ungitheni	u<i2s>ngi<o1s>th<vr>e<vps>ni<int>
ungithumeleni	u<i2s>ngi<o1s>thum<vr>el<xa>e<vps>ni<int>
ungitshela	u<i1>ngi<o1s>tshel<vr>a<va>, u<i2s>ngi<o1s>tshel<vr>a<va>, u<i3>ngi<o1s>tshel<vr>a<va>, u<p2s>ngi<o1s>tshel<vr>a<va>, u<p3>ngi<o1s>tshel<vr>a<va>
ungitshele	u<i1>ngi<o1s>tshel<vr>e<vps>
ungizwe	u<i1>ngi<o1s>zw<vr>e<vps>
ungizwisa	u<i1>ngi<o1s>zw<vr>is<xc>a<va>, u<i2s>ngi<o1s>zw<vr>is<xc>a<va>
ungqiphothwe	u<iv_n1>ngqiphothwe<nr>
ungubani	u<i2s>ng<p>u<iv_n1>bani<nr>
ungukuphela	ungukuphela<nr>
ungumfundisi	u<i2s>ng<p>u<iv>m<n1>fund<vr>is<xc>i<hum>
ungumfundisii	u<i2s>ng<p>u<iv>m<n1>fund<vr>isi<xc>i<hum>
ungumholi	u<i1>ng<p>u<iv>m<n1>hol<vr>i<hum>
ungumseshi	u<i2s>ng<p>u<iv>m<n1>sesh<vr>i<hum>
ungumthakathi	u<i1>ng<p>u<iv>m<n1>thakath<vr>i<hum>
ungumuntu	u<i1>ng<p>u<iv>mu<n1>ntu<nr>
ungundwandwe	u<iv_n1>ngundwandwe<nr>
ungunkalimba	u<i1>ng<p>u<iv_n1>nkalimba<nr>
ungunobhala	u<i2s>ng<p>u<iv>no<der>bhal<vr>a<va>, u<i2s>ng<p>u<iv_n1>no<der>bhal<vr>a<va>
unguntombi	u<i2s>ng<p>u<iv_n1>n<n9>tombi<nr>
unguyise	u<iv_n1>nguyise<nr>
ungwenya	u<iv_n1>ngwenya<nr>
unhlengethwa	u<iv_n3>nhlengethwa<nr>
unina	u<iv_n1>nina<nr>
unje	u<i1>nje<ar>
unjengoyihlo	u<i2s>njeng<p>o<iv_n1>yihlo<nr>
unjimbinjimbi	u<iv_n3>njimbinjimbi<nr>
unkabi	u<iv>n<n9>kabi<nr>
unkala	u<iv_n1>n<n9>kala<nr>
unkezo	u<iv_n1>n<n9>kezo<nr>
unkomo	u<iv_n1>n<n9>komo<nr>
unkosazana	u<iv_n1>n<n9>kos<nr>az<fem>ana<dim>
unkulavele	u<iv_n1>nkulavele<nr>
unkulunkulu	u<iv_n1>nkulunkulu<nr>
unkwanyana	u<iv_n1>nkwany<nr>ana<dim>
unobu	u<i2s>n<p>o<iv>bu<nr>
unogwaja	u<iv_n1>nogwaja<nr>
unomhlanjana	u<i1>n<p>o<iv>m<n3>hlanj<nr>ana<dim>
unomusa	u<i1>n<p>o<iv>mu<n3>sa<nr>
unosimilo	u<i2s>n<p>o<iv>si<n7>mil<vr>o<in>
unosiphela	u<p2s>n<p>o<iv_n3>siphela<nr>
unovalo	u<i2s>n<p>o<iv_n11>valo<nr>
unozimanga	u<i1>n<p>o<iv>zi<n10>manga<nr>
unozwengaye	u<i1>n<p>o<iv_n3>zwengaye<nr>
unqaba	u<i1>nqab<vr>a<va>
unqoba	u<i1>nqob<vr>a<va>
unsumpa	u<iv_n3>nsumpa<nr>
unswinswinswi	u<iv_n1>nswinswinswi<nr>
untombazana	u<iv_n1>ntombazana<nr>
untombazi	u<iv_n1>ntomb<nr>azi<fem>
untombi	u<iv_n1>n<n9>tombi<nr>
untombini	u<iv_n1>n<n9>tombi<nr>ni<int>
untshangase	u<iv_n1>ntshangase<nr>
untuli	u<iv_n1>ntuli<nr>
unxazisuka	unxazisuka<nr>
unyawo	u<iv_n11>nyawo<nr>
unyembezi	u<iv_n11>nyembezi<nr>
unyoko	u<iv_n1>nyoko<nr>
upetrus	u<iv_n1>petrus<nr>
upha	u<i2s>ph<vr>a<va>
uphakamisa	u<i1>phakam<vr>is<xc>a<va>, u<i2s>phakam<vr>is<xc>a<va>, u<i3>phakam<vr>is<xc>a<va>
uphakathwayo	u<iv_n1>phakath<vr>w<xp>a<va>yo<rsf>
uphalafini	u<iv_n3>phalafini<nr>
uphaphama	u<i1>phapham<vr>a<va>, u<i2s>phapham<vr>a<va>, u<i3>phapham<vr>a<va>
uphaphanyiswa	u<i2s>phaphany<vr>is<xc>w<xp>a<va>
uphathanisela	u<i1>phathanisel<vr>a<va>
uphelela	u<i1>phel<vr>el<xa>a<va>
uphelile	u<i1>phel<vr>ile<vpl>, u<i2s>phel<vr>ile<vpl>, u<i3>phel<vr>ile<vpl>, u<p2s>phel<vr>ile<vpl>, u<p3>phel<vr>ile<vpl>
uphendule	u<i1>phendul<vr>e<vps>, u<i2s>phendul<vr>e<vps>, u<i3>phendul<vr>e<vps>, u<p2s>phendul<vr>e<vps>, u<p3>phendul<vr>e<vps>, u<s2s>phendul<vr>e<vs>
uphethe	u<i1>pheth<vr>e<vps>, u<s2s>pheth<vr>e<vs>
uphethwe	u<i1>pheth<vr>w<xp>e<vps>, u<i3>pheth<vr>w<xp>e<vps>
uphi	u<i2s>phi<adv>
uphikelele	u<i1>phikelel<vr>e<vps>, u<i2s>phikelel<vr>e<vps>, u<i3>phikelel<vr>e<vps>, u<p2s>phikelel<vr>e<vps>
uphinda	u<i1>phind<vr>a<va>
uphindele	u<i2s>phind<vr>el<xa>e<vps>
uphuma	u<i3>phum<vr>a<va>, u<p2s>phum<vr>a<va>
uphume	u<i1>phum<vr>e<vps>, u<i2s>phum<vr>e<vps>, u<i3>phum<vr>e<vps>, u<p2s>phum<vr>e<vps>, u<p3>phum<vr>e<vps>, u<s2s>phum<vr>e<vs>
uphumule	u<i1>phumul<vr>e<vps>
uphuza	u<i1>phuz<vr>a<va>, u<i2s>phuz<vr>a<va>, u<i3>phuz<vr>a<va>, u<p2s>phuz<vr>a<va>, u<p3>phuz<vr>a<va>
upunda	upunda<nr>
uqale	u<i1>qal<vr>e<vps>, u<i3>qal<vr>e<vps>
uqaphele	u<i1>qaphel<vr>e<vps>
uqedile	u<i1>qed<vr>ile<vpl>, u<i2s>qed<vr>ile<vpl>, u<i3>qed<vr>ile<vpl>
uqhamuka	u<i1>qhamuk<vr>a<va>, u<i2s>qhamuk<vr>a<va>, u<i3>qhamuk<vr>a<va>, u<p2s>qhamuk<vr>a<va>, u<p3>qhamuk<vr>a<va>
uqhamukephi	u<i2s>qhamuk<vr>e<vps>phi<adv>
uqhathanisa	u<i1>qhath<vr>an<xr>is<xc>a<va>
uqhoshe	u<i1>qhosh<vr>e<vps>, u<i2s>qhosh<vr>e<vps>, u<i3>qhosh<vr>e<vps>, u<p2s>qhosh<vr>e<vps>, u<p3>qhosh<vr>e<vps>, u<s2s>qhosh<vr>e<vs>, u<s3>qhosh<vr>e<vs>
uqhube	u<i1>qhub<vr>e<vps>, u<i2s>qhub<vr>e<vps>, u<i3>qhub<vr>e<vps>, u<p2s>qhub<vr>e<vps>, u<p3>qhub<vr>e<vps>, u<s2s>qhub<vr>e<vs>, u<s3>qhub<vr>e<vs>
uqhubeka	u<i1>qhub<vr>ek<xn>a<va>, u<i2s>qhub<vr>ek<xn>a<va>, u<i2s>qhubek<vr>a<va>
uqhubeke	u<i2s>qhub<vr>ek<xn>e<vps>, u<i3>qhub<vr>ek<xn>e<vps>, u<p2s>qhub<vr>ek<xn>e<vps>, u<s2s>qhub<vr>ek<xn>e<vs>, u<s3>qhub<vr>ek<xn>e<vs>
uqiliga	u<i2s>qilig<vr>a<va>
uqinela	u<i2s>qin<vr>el<xa>a<va>
uqinisa	u<i1>qin<vr>is<xc>a<va>, u<i3>qin<vr>is<xc>a<va>
uqinisile	u<i1>qin<vr>is<xc>ile<vpl>, u<i2s>qin<vr>is<xc>ile<vpl>, u<i3>qin<vr>is<xc>ile<vpl>, u<p2s>qin<vr>is<xc>ile<vpl>, u<p3>qin<vr>is<xc>ile<vpl>
uqobo	u<iv_n11>qobo<nr>
uqonda	u<i1>qond<vr>a<va>, u<p3>qond<vr>a<va>
uqonde	u<i1>qond<vr>e<vps>, u<i2s>qond<vr>e<vps>, u<i3>qond<vr>e<vps>, u<p2s>qond<vr>e<vps>, u<p3>qond<vr>e<vps>, u<s2s>qond<vr>e<vs>, u<s3>qond<vr>e<vs>
uqoveqove	u<iv_n3>qoveqove<nr>
uqwabe	u<iv_n1>qwabe<nr>
usaba	u<i1>sa<asp>b<vr>a<va>
usabhuquza	u<i1>sa<asp>bhuquz<vr>a<va>, u<i3>sa<asp>bhuquz<vr>a<va>
usabuya	u<i1>sa<asp>buy<vr>a<va>
usabuyisa	u<i1>sa<asp>buy<vr>is<xc>a<va>, u<i2s>sa<asp>buy<vr>is<xc>a<va>, u<i3>sa<asp>buy<vr>is<xc>a<va>, u<p2s>sa<asp>buy<vr>is<xc>a<va>
usafa	u<i1>sa<asp>f<vr>a<va>, u<i2s>sa<asp>f<vr>a<va>, u<i3>sa<asp>f<vr>a<va>
usagcwele	u<i1>sa<asp>gcwel<vr>e<vps>
usakukhumbula	u<i1>sa<asp>ku<o15>khumbul<vr>a<va>, u<i1>sa<asp>ku<o2s>khumbul<vr>a<va>, u<i2s>sa<asp>ku<o15>khumbul<vr>a<va>
usale	u<i1>sal<vr>e<vps>, u<i2s>sal<vr>e<vps>, u<i3>sal<vr>e<vps>, u<p2s>sal<vr>e<vps>, u<p3>sal<vr>e<vps>, u<s2s>sal<vr>e<vs>, u<s3>sal<vr>e<vs>
usalindele	u<i1>sa<asp>lindel<vr>e<vps>, u<i2s>sa<asp>lindel<vr>e<vps>, u<i3>sa<asp>lindel<vr>e<vps>, u<p2s>sa<asp>lindel<vr>e<vps>
usalokhu	u<i2s>sa<asp>lokhu<mr>
usambeke	u<i1>sa<asp>m<o1>bek<vr>e<vps>
usangiphindisela	u<i1>sa<asp>ngi<o1s>phind<vr>is<xc>el<xa>a<va>
usangithinta	u<i1>sa<asp>ngi<o1s>thint<vr>a<va>
usaphila	u<i1>sa<asp>phil<vr>a<va>, u<i2s>sa<asp>phil<vr>a<va>, u<i3>sa<asp>phil<vr>a<va>, u<p2s>sa<asp>phil<vr>a<va>
usaqhubeka	u<i2s>sa<asp>qhub<vr>ek<xn>a<va>
usasho	u<i1>sa<asp>sho<vr>
usasukumela	u<i1>sa<asp>sukum<vr>el<xa>a<va>
usathane	u<iv_n1>sathane<nr>
usathenga	u<i1>sa<asp>theng<vr>a<va>, u<i2s>sa<asp>theng<vr>a<va>, u<i3>sa<asp>theng<vr>a<va>, u<p2s>sa<asp>theng<vr>a<va>, u<p3>sa<asp>theng<vr>a<va>
usathibile	u<i1>sa<asp>thib<vr>ile<vpl>
usavuma	u<i1>sa<asp>vum<vr>a<va>
usayicabanga	u<i1>sa<asp>yi<o4>cabang<vr>a<va>, u<i1>sa<asp>yi<o9>cabang<vr>a<va>, u<i2s>sa<asp>yi<o4>cabang<vr>a<va>, u<i2s>sa<asp>yi<o9>cabang<vr>a<va>, u<i3>sa<asp>yi<o4>cabang<vr>a<va>, u<i3>sa<asp>yi<o9>cabang<vr>a<va>
usazobuya	u<i2s>sa<asp>zobuy<vr>a<va>
usazohamba	u<i1>sa<asp>zo<fut>hamb<vr>a<va>
usazolandela	u<i1>sa<asp>zo<fut>land<vr>el<xa>a<va>
usazoncengeka	u<i1>sa<asp>zo<fut>nceng<vr>ek<xn>a<va>
usazoyifunda	u<i2s>sa<asp>zo<fut>yi<o9>fund<vr>a<va>
useba	u<i1>s<asp>eb<vr>a<va>
usebabuthile	u<i1>se<asp>ba<o2>buth<vr>ile<vpl>
usebenza	u<i1>sebenz<p1_vr>a<va>
usebhekabhekile	u<i1>se<asp>bhek<vr>a<va>bhek<vr>ile<vpl>
usebonwe	u<i1>se<asp>bon<vr>w<xp>e<vps>
usebuyile	u<i1>se<asp>buy<vr>ile<vpl>
usefana	u<i1>se<asp>fan<vr>a<va>
usefika	u<i1>se<asp>fik<vr>a<va>
usefile	u<i1>se<asp>f<vr>ile<vpl>
usefunda	u<i1>se<asp>fund<vr>a<va>
usegalele	u<i1>se<asp>gal<vr>el<xa>e<vps>
usegugile	u<i1>se<asp>gug<vr>ile<vpl>
usehambela	u<i1>s<asp>e<p1>hamb<vr>el<xa>a<va>
usehlulekile	u<i1>se<asp>hlulek<vr>ile<vpl>
usekhohliwe	u<i1>se<asp>khohl<vr>iw<xp>e<vps>
usekholishi	u<i1>se<locpf>kholishi<nr>
usekhulile	u<i1>se<asp>khul<vr>ile<vpl>
uselele	u<i1>se<asp>lel<vr>e<vps>
uselungiselela	u<i1>se<asp>lung<vr>is<xc>el<xa>el<xa>a<va>
useluqotho	u<i1>se<asp>lu<n11>qotho<nr>
usemncane	u<i1>se<asp>m<n1>ncane<ar>
usengagoqana	u<i1>se<asp>nga<asp>goq<vr>an<xr>a<va>, u<i2s>se<asp>nga<asp>goqan<vr>a<va>, u<i3>se<asp>nga<asp>goq<vr>an<xr>a<va>
usengcono	u<i1>se<asp>ngcono<ar>
usenomunye	u<i1>se<asp>n<p>o<r>mu<n1>nye<ar>
usenza	u<i1>s<o1p>enz<p1_vr>a<va>
usenze	u<s2s>s<o7>enz<vr>e<vs>
usephazamisekile	u<i1>se<asp>phazam<vr>is<xc>ek<xn>ile<vpl>
usephenduka	u<i1>se<asp>phenduk<vr>a<va>
usephumule	u<i1>se<asp>phumul<vr>e<vps>
usesebaleni	u<i1>se<asp>se<locpf>bal<nr>eni<locsf>
useshonephi	u<i1>se<asp>shon<vr>e<vps>phi<adv>
useshonile	u<i1>se<asp>shon<vr>ile<vpl>
usesilungwini	u<i2s>se<locpf>si<n7>lungw<nr>ini<locsf>
usethuthile	u<i1>se<asp>thuth<vr>ile<vpl>
usetshenziselwa	u<i1>setshenz<vr>is<xc>el<xa>w<xp>a<va>
usevukile	u<i1>se<asp>vuk<vr>ile<vpl>
usewenze	u<i1>se<asp>w<o3>enz<vr>e<vpl>
useyajuluka	u<i1>se<asp>ya<asp>juluk<vr>a<va>
useyambulala	u<i1>se<asp>ya<asp>m<o1>bulal<vr>a<va>
useyaqeda	u<i1>se<asp>ya<asp>qed<vr>a<va>
useyashweleza	u<i1>se<asp>ya<asp>shwelez<vr>a<va>
useyasukuma	u<i1>se<asp>ya<asp>sukum<vr>a<va>
useyayazi	u<i1>se<asp>ya<asp>y<o9>azi<vr>
useyayizwa	u<i1>se<asp>ya<asp>yi<o9>zw<vr>a<va>
useyaziwa	u<i1>se<asp>y<asp>az<p1_vr>iw<xp>a<va>
useyesabeka	u<i1>se<asp>y<asp>esab<vr>ek<xn>a<va>
useyibeke	u<i1>se<asp>yi<o9>bek<vr>e<vs>
useyifundile	u<i1>se<asp>yi<o9>fund<vr>ile<vpl>
useyindoda	u<i2s>se<asp>y<p>i<iv>n<n9>doda<nr>
useyisusile	u<i1>se<asp>yi<o9>sus<vr>ile<vpl>
useyixoxe	u<i1>se<asp>yi<o9>xox<vr>e<vps>
useyokuzwa	u<i1>se<asp>yo<fut>ku<n15>zw<vr>a<va>
useyoqala	u<i1>se<asp>yo<fut>qal<vr>a<va>
useyoyivula	u<i1>se<asp>yo<fut>yi<o9>vul<vr>a<va>
useyozifunela	u<i1>se<asp>yo<fut>zi<refl>fun<vr>el<xa>a<va>
useyozithola	u<i2s>se<asp>yo<fut>zi<o10>thol<vr>a<va>
usezame	u<i1>se<asp>zam<vr>e<vps>
useze	u<i1>se<asp>ze<mr>
usezimisele	u<i1>se<asp>zi<refl>m<vr>is<xc>el<xa>e<vps>
usezoyithola	u<i1>se<asp>zo<fut>yi<o9>thol<vr>a<va>
usezukeke	u<i1>se<asp>zukek<vr>e<vpl>
usezwa	u<i2s>sez<vr>w<xp>a<va>
usezwile	u<i1>se<asp>zw<vr>ile<vpl>
ushaka	u<iv_n1>shaka<nr>
ushanti	u<iv_n1>shanti<nr>
ushayekile	u<i1>shay<vr>ek<xn>ile<vpl>
usheshe	u<i1>shesh<vr>e<vps>, u<i2s>shesh<vr>e<vps>, u<i3>shesh<vr>e<vps>
ushevu	u<iv_n3>shevu<nr>
ushilo	u<i1>sh<vr>ilo<vpl>
ushintshi	u<iv_n3>shintshi<nr>
ushiye	u<i1>shiy<vr>e<vps>, u<i2s>shiy<vr>e<vps>, u<i3>shiy<vr>e<vps>, u<p2s>shiy<vr>e<vps>, u<p3>shiy<vr>e<vps>, u<s2s>shiy<vr>e<vs>, u<s3>shiy<vr>e<vs>
ushonephi	u<i1>shon<vr>e<vps>phi<adv>
ushonile	u<i1>shon<vr>ile<vpl>, u<i2s>shon<vr>ile<vpl>, u<p3>shon<vr>ile<vpl>
ushoti	u<iv>shot<nr>i<hum>
ushunqisa	u<i1>shunq<vr>is<xc>a<va>, u<i2s>shunq<vr>is<xc>a<va>, u<i3>shunq<vr>is<xc>a<va>, u<p2s>shunq<vr>is<xc>a<va>, u<p3>shunq<vr>is<xc>a<va>
usibhamu	u<iv_n1>si<n7>bhamu<nr>
usigaxamabhande	u<iv_n1>si<n7>gax<vr>a<va>ma<n6>bhande<nr>
usigodo	u<iv_n1>si<n7>godo<nr>
usigonyela	u<iv_n1>si<n7>gony<vr>el<xa>a<va>
usikhuni	u<i2s>si<n7>khuni<nr>
usikhwama	u<iv_n1>sikhwama<nr>
usiphekele	u<i2s>si<o1p>phek<vr>el<xa>e<vps>
usipho	u<iv_n1>si<n7>ph<vr>o<in>
usiphuthumise	u<i1>si<o1p>phuthum<vr>is<xc>e<vps>, u<i2s>si<o1p>phuthum<vr>is<xc>e<vps>
usishiya	u<i1>si<o1p>shiy<vr>a<va>
usista	u<iv_n1>sista<nr>
usitholaphi	u<i2s>si<o7>thol<vr>a<va>phi<adv>
usithole	u<i1>si<o1p>thol<vr>e<vps>
usithumele	u<i1>si<o1p>thum<vr>el<xa>e<vps>, u<i2s>si<o1p>thum<vr>el<xa>e<vps>
usixoxele	u<i2s>si<o1p>xoxel<vr>e<vps>, u<i3>si<o1p>xoxel<vr>e<vps>
usiza	u<i1>siz<vr>a<va>
usize	u<i1>siz<vr>e<vps>
usizi	u<iv_n3>sizi<nr>
usizo	u<iv_n11>siz<vr>o<in>
uskhemelayi	u<iv_n1>skhemelayi<nr>
usofa	u<iv_n3>sofa<nr>
usola	u<i1>sol<vr>a<va>, u<p2s>sol<vr>a<va>
usolongi	u<iv_n3>solongi<nr>
usombenyase	u<iv_n1>so<der>mbeny<vr>a<va>se<der>
usoniwe	u<i1>s<asp>on<vr>iw<xp>e<vps>
usudinda	u<i2s>s<asp>u<p2s>dind<vr>a<va>
usuhambe	u<i2s>s<asp>u<p2s>hamb<vr>e<vps>
usuhlanganisiwe	u<i2s>s<asp>u<p2s>hlangan<vr>is<xc>iw<xp>e<vps>
usuhlebeke	u<i2s>s<asp>u<p2s>hleb<vr>ek<xn>e<vps>
usuka	u<i1>suk<vr>a<va>, u<i2s>suk<vr>a<va>, u<i3>suk<vr>a<va>, u<p2s>suk<vr>a<va>, u<p3>suk<vr>a<va>
usuke	u<i1>suk<vr>e<vps>, u<i2s>suk<vr>e<vps>
usukhule	u<i2s>s<asp>u<p2s>khul<vr>e<vs>
usuku	u<iv_n11>suku<nr>
usukushaya	u<i2s>s<asp>u<p2s>ku<o15>shay<vr>a<va>
usulapha	u<i2s>s<asp>u<p2s>lapha<adv>
usulu	u<iv_n11>sulu<nr>
usumlethele	u<i2s>s<asp>u<p2s>m<o1>leth<vr>el<xa>e<vpl>
usungabona	u<s2s>s<asp>u<p2s>nga<asp>bon<vr>a<va>
usungafunga	u<i2s>s<asp>u<p2s>nga<neg>fung<vr>a<va>
usungahamba	u<i2s>s<asp>u<p2s>nga<asp>hamb<vr>a<va>
usungamahlamvu	u<i2s>s<asp>u<p2s>ng<p>a<iv>ma<n6>hlamvu<nr>
usungayeka	u<i2s>s<asp>u<p2s>nga<asp>yek<vr>a<va>
usungumpetha	usungumpetha<nr>
usunje	usunje<nr>
usuphehlwa	u<i2s>s<asp>u<p2s>phehl<vr>w<xp>a<va>
usuphunyula	u<i2s>s<asp>u<p2s>phunyul<vr>a<va>
usuphuthumise	u<i2s>s<asp>u<p2s>phuthum<vr>is<xc>e<vs>
ususendleleni	u<i2s>s<asp>u<p2s>se<locpf>n<n9>dlel<nr>eni<locsf>
usushada	u<i2s>s<asp>u<p2s>shad<vr>a<va>
usushaye	u<i2s>s<asp>u<p2s>shay<vr>e<vps>
ususikhipha	u<i2s>s<asp>u<p2s>si<o7>khiph<vr>a<va>
usuthi	u<iv_n3>suthi<nr>
usuvale	u<i2s>s<asp>u<p2s>val<vr>e<vs>
usuvamile	u<i2s>s<asp>u<p2s>vam<vr>ile<vpl>
usuyakwazi	u<i2s>s<asp>u<p2s>ya<asp>kw<o15>azi<vr>
usuyalwa	u<i2s>s<asp>u<p2s>y<o9>al<vr>w<xp>a<va>
usuyangithanda	u<i2s>s<asp>u<p2s>ya<asp>ngi<o1s>thand<vr>a<va>
usuyayazi	u<i2s>s<asp>u<p2s>ya<asp>y<o9>azi<vr>
usuyifuna	u<i2s>s<asp>u<p2s>yi<o9>fun<vr>a<va>
usuza	u<i1>suz<vr>a<va>, u<i2s>suz<vr>a<va>, u<i3>suz<vr>a<va>, u<p2s>suz<vr>a<va>, u<p3>suz<vr>a<va>
usuze	u<i1>suz<vr>e<vps>, u<i2s>s<asp>u<p2s>z<vr>e<vps>
utajewo	u<iv_n1>tajewo<nr>
utangwembe	u<iv_n1>tangwembe<nr>
utewu	u<iv_n11>tewu<nr>
uthanda	u<i1>thand<vr>a<va>, u<i2s>thand<vr>a<va>, u<i3>thand<vr>a<va>, u<p2s>thand<vr>a<va>, u<p3>thand<vr>a<va>
uthandazela	u<i1>thandaz<vr>el<xa>a<va>
uthandelani	u<i1>thand<vr>el<xa>a<va>ni<int>
uthando	u<iv_n11>thand<vr>o<in>
uthatha	u<i1>thath<vr>a<va>, u<i2s>thath<vr>a<va>, u<i3>thath<vr>a<va>, u<p2s>thath<vr>a<va>, u<p3>thath<vr>a<va>
uthathe	u<i1>thath<vr>e<vps>, u<p3>thath<vr>e<vps>
uthe	u<i1>th<vr>e<vps>, u<i2s>th<vr>e<vps>, u<i3>th<vr>e<vps>, u<p2s>th<vr>e<vps>
uthembi	u<iv_n1>themb<vr>i<hum>
uthenga	u<i1>theng<vr>a<va>
uthengelwe	u<i1>theng<vr>el<xa>w<xp>e<vps>
uthengise	u<i1>theng<vr>is<xc>e<vps>, u<i2s>theng<vr>is<xc>e<vps>, u<i3>theng<vr>is<xc>e<vps>, u<p2s>theng<vr>is<xc>e<vps>, u<p3>theng<vr>is<xc>e<vps>, u<s2s>theng<vr>is<xc>e<vs>, u<s3>theng<vr>is<xc>e<vs>
utheni	u<i1>th<vr>e<vps>ni<int>
uthi	u<i1>thi<vr>, u<i2s>thi<vr>, u<i3>thi<vr>, u<iv_n11>thi<nr>
uthibile	u<i1>thib<vr>ile<vpl>, u<i2s>thib<vr>ile<vpl>, u<i3>thib<vr>ile<vpl>, u<p2s>thib<vr>ile<vpl>, u<p3>thib<vr>ile<vpl>
uthini	u<i2s>thi<vr>ni<int>
uthisha	u<iv_n1>thisha<nr>
uthishomkhulu	u<iv_n1>thish<nr>o<r>m<n1>khulu<ar>
uthokozile	u<i1>thokoz<vr>ile<vpl>, u<i2s>thokoz<vr>ile<vpl>, u<i3>thokoz<vr>ile<vpl>, u<p2s>thokoz<vr>ile<vpl>, u<p3>thokoz<vr>ile<vpl>
utholakele	u<i1>thol<vr>akel<xn>e<vps>
uthuke	u<i1>thuk<vr>e<vps>
uthul	u<i1>thul<vr>
uthuli	u<iv_n11>thuli<nr>
uthunywe	u<i1>thuny<vr>w<xp>e<vps>, u<i2s>thuny<vr>w<xp>e<vps>, u<i3>thuny<vr>w<xp>e<vps>, u<p2s>thuny<vr>w<xp>e<vps>, u<p3>thuny<vr>w<xp>e<vps>
uthuthuva	u<i1>thuthuv<vr>a<va>
uthwale	u<i1>thwal<vr>e<vps>
utom	u<iv_n1>tom<nr>
utozi	u<iv_n1>tozi<nr>
utshani	u<iv_n14>tshani<nr>
utshwala	u<iv_n14>tshwala<nr>
uvakashelaphi	u<i1>vakashel<vr>a<va>phi<adv>
uvalelise	u<i1>valelis<vr>e<vps>, u<i3>valelis<vr>e<vps>
uvalo	u<iv_n11>valo<nr>
uvamise	u<i1>vamis<vr>e<vs>
uvele	u<i1>vele<mr>
uvemvane	u<iv_n11>vemvane<nr>
uvimbile	u<i2s>vimb<vr>ile<vpl>
uvula	u<i1>vul<vr>a<va>
uvulekile	u<i2s>vul<vr>ek<xn>ile<vpl>, u<i3>vul<vr>ek<xn>ile<vpl>
uvulela	u<i1>vul<vr>el<xa>a<va>
uwaca	u<i3>waca<nr>
uwafundisela	u<i2s>wa<o6>fund<vr>is<xc>el<xa>a<va>
uwalungisela	u<i2s>wa<o6>lung<vr>is<xc>el<xa>a<va>
uwamumethe	u<i1>wa<o6>mumeth<vr>e<vps>
uwashaya	u<i1>wa<o6>shay<vr>a<va>, u<i2s>wa<o6>shay<vr>a<va>, u<i3>wa<o6>shay<vr>a<va>, u<p2s>wa<o6>shay<vr>a<va>, u<p3>wa<o6>shay<vr>a<va>
uwenzeni	u<i1>w<o3>enz<p1_vr>e<vps>ni<int>
uwufuna	u<i1>wu<o3>fun<vr>a<va>
uwuhenqele	u<i1>wu<o3>henq<vr>el<xa>e<vps>, u<iv_n1>wu<o3>henq<vr>el<xa>e<vps>
uwumise	u<i1>wu<o3>m<vr>is<xc>e<vps>
uwunikwe	u<i1>wu<o3>nik<vr>w<xp>e<vps>
uwuthengile	u<i1>wu<o3>theng<vr>ile<vpl>
uxaba	u<i1>xab<vr>a<va>, u<i2s>xab<vr>a<va>, u<i3>xab<vr>a<va>, u<iv_n3>xaba<nr>, u<p2s>xab<vr>a<va>
uxhume	u<i2s>xhum<vr>e<vps>
uxhwatha	u<i1>xhwath<vr>a<va>
uxibuyisele	u<i2s>xibuy<vr>is<xc>el<xa>e<vps>
uxolo	u<iv_n11>xolo<nr>
uxulu	u<iv_n11>xulu<nr>
uya	u<i1>y<vr>a<va>, u<i2s>y<vr>a<va>, u<i3>y<vr>a<va>
uyabaleka	u<i1>ya<asp>balek<vr>a<va>, u<i2s>ya<asp>balek<vr>a<va>, u<i3>ya<asp>ba<o2>lek<vr>a<va>
uyabheda	u<i1>ya<asp>bhed<vr>a<va>, u<i2s>ya<asp>bhed<vr>a<va>
uyabhula	u<i2s>ya<asp>bhul<vr>a<va>, u<i3>ya<asp>bhul<vr>a<va>
uyabona	u<i1>ya<asp>bon<vr>a<va>, u<i2s>ya<asp>bon<vr>a<va>
uyabonakala	u<i1>ya<asp>bon<vr>akal<xn>a<va>
uyabulawa	u<i2s>ya<asp>bulaw<vr>a<va>, u<i3>ya<asp>bulaw<vr>a<va>
uyadabuka	u<i2s>ya<asp>dabuk<vr>a<va>
uyadlala	u<i1>ya<asp>dlal<vr>a<va>, u<i2s>ya<asp>dlal<vr>a<va>
uyafihla	u<i2s>ya<asp>fihl<vr>a<va>
uyafika	u<i1>ya<asp>fik<vr>a<va>, u<i2s>ya<asp>fik<vr>a<va>, u<i3>ya<asp>fik<vr>a<va>
uyafunda	u<i1>ya<asp>fund<vr>a<va>, u<i2s>ya<asp>fund<vr>a<va>, u<i3>ya<asp>fund<vr>a<va>
uyafundekela	u<i1>ya<asp>fundekel<vr>a<va>, u<i2s>ya<asp>fundekel<vr>a<va>, u<i3>ya<asp>fundekel<vr>a<va>
uyagcizelela	u<i1>ya<asp>gcizel<vr>el<xa>a<va>
